1002,Ania Irvin,PO Box 96621,Washington,DC,20090,(301) 555-8950,ania@mma.nidc.com
1004,Kenzie Quinn,1990 Westwood Blvd Ste 260,Los Angeles,CA,90025,(800) 555-8725,kenzie@mma.jobtrak.com
1006,Anton Mauro,3255 Ramos Cir,Sacramento,CA,95827,(916) 555-6670,amauro@mma.ccc.org
1008,Kaitlyn Anthoni,Box 52001,San Francisco,CA,94152,(800) 555-6081,kanthoni@mma.pge.com
1010,Kendall Mayte,PO Box 2069,Fresno,CA,93718,(559) 555-9999,kmayte@mma.fresno.ca.gov
1012,Marvin Quintin,"4420 N. First Street, Suite 108",Fresno,CA,93726,(559) 555-9586,marvin@mma.expedata.com
1015,Gonzalo Keeton,27371 Valderas,Mission Viejo,CA,92691,(214) 555-3647,
1016,Derek Chaddick,"1952 ""H"" Street",Fresno,CA,93718,(559) 555-3005,dChaddick@mma.fresnophoto.com
1017,Malia Marques,7700 Forsyth,St Louis,MO,63105,(314) 555-8834,malia@mma.TheLibraryLtd.com
1018,Emily Evan,1555 W Lane Ave,Columbus,OH,43221,(614) 555-4435,Emily@mma.MicroCenter.com
1019,Alexandro Alexis,3711 W Franklin,Fresno,CA,93706,(559) 555-2993,alal@mma.yaleindustries.com
1023,Ingrid Neil,12 Daniel Road,Fairfield,NJ,07004,(201) 555-9742,Ingrid@mma.richadvertizing.com
1026,Eileen Lawrence,"1483 Chain Bridge Rd, Ste 202",Mclean,VA,22101,(770) 555-9558,eLawrence@mma.ecomm.com
1027,Marjorie Essence,PO Box 31,East Brunswick,NJ,08810,(800) 555-8110,messence@mma.rrbowker.com
1029,Trentin Camron,PO Box 61000,San Francisco,CA,94161,(800) 555-4426,tCamron@mma.ibm.com
1030,Demetrius Hunter,PO Box 956,Selma,CA,93662,(559) 555-1534,demetrius@mma.termite.com
1033,Thalia Neftaly,60 Madison Ave,New York,NY,10010,(212) 555-4800,tneftaly@mma.venture.com
1034,Harley Myles,PO Box 7028,St Louis,MO,63177,(301) 555-1494,harley@mma.cprinting.com
1037,Gideon Paris,1033 N Sycamore Ave.,Los Angeles,CA,90038,(213) 555-4322,gideon@mma.opamp.com
1038,Jayda Maxwell,PO Box 39046,Minneapolis,MN,55439,(612) 555-0057,jmaxwell@mma.ccredit.com
1040,Kristofer Gerald,PO Box 40513,Jacksonville,FL,32231,(800) 555-6041,kgerald@mma.naylorpub.com
1045,Priscilla Carrollton,Box 1979,Marion,OH,43305,(800) 555-1669,pcarrollton@mma.pw.com
1047,Brian Griffin,1150 N Tustin Ave,Anaheim,CA,92807,(714) 555-9000,bgriffin@mma.azteklabel.com
1049,Kaylea Cheyenne,2384 E Gettysburg,Fresno,CA,93726,(559) 555-0765,kaylea@mma.phphoto.com
1050,Kayle Misael,PO Box 95857,Chicago,IL,60694,(800) 555-5811,misael@mma.qualityeducation.com
1051,Clarence Maeve,PO Box 7247-7051,Philadelphia,PA,19170,(215) 555-8700,cmaeve@mma.springhouse.com
1054,Jovon Walker,627 Aviation Way,Manhatttan Beach,CA,90266,(310) 555-2732,jovon@mma.ama.org
1056,Nashalie Angelica,828 S Broadway,Tarrytown,NY,10591,(800) 555-0037,nangelica@mma.aba.org
1063,Leroy Aryn,3502 W Greenway #7,Phoenix,AZ,85023,(602) 547-0331,laryn@mma.computerliteracy.com
1065,Anne Braydon,PO Box 942,Fresno,CA,93714,(559) 555-7900,anne@mma.fcb.com
1066,Leah Colton,1626 E Street,Fresno,CA,93786,(559) 555-4442,lcolton@mma.fresnobee.com
1067,Cesar Arodondo,4545 Glenmeade Lane,Auburn Hills,MI,48326,(810) 555-3700,arododo@mma.drc.com
1068,Rachael Danielson,353 E Shaw Ave,Fresno,CA,93710,(559) 555-1704,rdanielson@mma.eop.com
1070,Salina Edgardo,"6435 North Palm Ave, Ste 101",Fresno,CA,93704,(559) 555-7070,sadgardo@mma.rpc.com
1071,Daniel Bradlee,4 Cornwall Dr Ste 102,East Brunswick,NJ,08816,(908) 555-7222,dbradlee@mma.simondirect.com
1074,Quentin Warren,PO Box 12332,Fresno,CA,93777,(559) 555-3112,quentin@mma.valprint.com
1080,Jillian Clifford,3250 Spring Grove Ave,Cincinnati,OH,45225,(800) 555-1957,jillian@mma.champion.com
1081,Angel Lloyd,Department #1872,San Francisco,CA,94161,(617) 555-0700,alloyd@mma.cw.com
1083,Jeanette Helena,4775 E Miami River Rd,Cleves,OH,45002,(513) 555-3043,jhelena@mma.eds.com
1086,Luciano Destin,P O Box 7126,Pasadena,CA,91109,(800) 555-7009,ldestin@mma.mwp.com
1089,Kyra Francis,"4150 W Shaw Ave ",Fresno,CA,93722,(559) 555-8300,kyra@mma.abbey.com
1094,Lance Potter,28210 N Avenue Stanford,Valencia,CA,91355,(805) 555-0584,lpotter@mma.bis.com
1097,Jeffrey Smitzen,PO Box 1091,Fresno,CA,93714,(559) 555-8700,jeffrey@mma.coffee.com
1098,Vance Johnson,9 River Pk Pl E 400,Boston,MA,02134,(508) 555-8737,vjohnson@mma.dwr.com
1100,Thom Aaronsen,7112 N Fresno St Ste 200,Fresno,CA,93720,(559) 555-8484,taaronsen@mma.dgm.com
1112,Harold Spivak,2874 S Cherry Ave,Fresno,CA,93706,(559) 555-2770,harold@mma.propane.com
1113,Rachael Bluzinski,P.O. Box 860070,Pasadena,CA,91186,(415) 555-7600,rachael@mma.unocal.com
1114,Reba Hernandez,PO Box 2061,Fresno,CA,93718,(559) 555-0600,rhernandez@mma.yesmed.com
1116,Jaime Ronaldsen,3467 W Shaw Ave #103,Fresno,CA,93711,(559) 555-8625,jronaldsen@mma.zylka.com
1117,Violet Beauregard,P.O. Box 505820,Reno,NV,88905,(800) 555-0855,vbeauregard@mma.ups.com
1118,Charlie Bucket,P.O. Box 1140,Memphis,TN,38101,(800) 555-4091,cbucket@mma.fedex.com
